Power	Flavor Text	Power Set	Prerequisites	Action	Trigger	Duration	Range	Cost	Effect	Rank
Discipline 3	Few can top the character's grasp on their power.	None	Discipline 2, Rank 3	None	None	Instant	None	0	The character adds +3 to their Ego damage multiplier,and they gain a +3 bonus to Ego checks other than attacks.	3
Disrupt Person	The character can hurt someone with their phasing powers.	Phasing	Phase Self, Rank 3	Standard	None	Instant	None	10	The character becomes the slightest bit solid while phasing themselves or a phased weapon through someone. They make a close attack. On a success, the attack does normal damage, ignoring any Health Damage Reduction. On a Fantastic success, the attack does double damage instead, ignoring any Health Damage Reduction,and the target is stunned for one round.	3
Elemental Form	The character's body is made of their element.	Elemental Control	Elemental Reinforcement, Rank 3	None	None	Concentration	None	5	The character's body is made entirely of their element, which gives them a steady supply of their element to use and makes them essentially unkillable.When they lose all their Health, their form loses its cohesion and falls apart. When they have at least 1 Health—which they can gain back over time, normally—they can re-form.If the character wishes to use their elemental body in unusual ways, they should pick Plasticity powers. If they wish to be able to be fully human at times, they should take the Shape-Shift power.	3
Elemental Protection 2	The character's elemental protection is like armor.	Elemental Control	Elemental Protection 1, Rank 3	Standard/Reaction	The character is attacked or otherwise in danger.	Concentration	None	10	The character protects themselves with their element.Any attacks against them that do 20 points of damage or lessare instantly absorbed, and the protection continues. If an attack does more than 20 points of damage, it destroys the protection. Either way, the character remains unharmed.	3
Elemental Push	The character can move a target with their element.	Elemental Control	Elemental Burst, Rank 3	Standard	None	Instant	None	10	The character makes an Ego attack against the target's Agility defense. If the attack succeeds, the character can move the target in any direction, up to 1 space times the character's rank. On a Fantastic success,the target also takes regular damage, is knocked prone land suffers the element's special effect.	3
Elemental Ricochet	The character bounces the burst off one foe and into another.	Elemental Control	Elemental Burst, Rank 3	Standard	None	Instant	10	10	The character makes a ranged attack against a target in line of sight. If the attack is a success, it inflicts regular damage. On a Fantastic success, energy also bounces off the ifrst target to another in line of sight, andthe character can make a new attack against that target,adding the new range to the previous attack’s range. This Can be repeated until an attack is not fantastic.	3
Fast Hands	The character can shoot faster than the eye can blink.	Ranged weapons	Point-Blank Parry, Rank 3	None	None	Permanent	None	0	The character gains one additional reaction perround. This reaction can be used only to trigger a Ranged Weapons power.	3
Flare	The character generates a dazzling flare of light.	Illusion	Illumination, Rank 3	Standard	None	Instant	None	10	The character makes an Ego check and compare that against the Vigilance defense of every enemy within 5 spaces. Each beaten enemy is blinded for one turn. On a Fantastic success, the flare inflicts regular damage too.	3
Flight 2	The character can zoom across the sky.	None	Flight 1, Rank 3	None	None	Permanent	None	0	Outside of combat, the character can fly up to 50 times their Flight Speed.	3
Flying Double Kick	The character leaps into the air and snap kicks two enemies at once.	Martial Arts	Leg Sweep, Rank 3	Standard	None	Instant	None	10	The character makes a close attack against two enemies within reach. If an attack is a success, the enemy takes regular damage. If an attack is a Fantastic success,the enemy takes double damage and is knocked prone.	3
Focus Fire	The character calls out a target.	Tactics	Battle Plan, Rank 3	Standard	None	Concentration	None	10	The character calls out an enemy in line of sight and inspires one or more allies of their choice in earshot, up to the character's Vigilance. They gain an edge on all action checks against that enemy.	3
Focused Fury	The character channels their rage into a devastating blow.	Melee Weapons	Exploit, Rank 3	Standard	None	Instant	None	5	The character makes a close attack with an edge. For this attack, add +1 to the character's Melee damage bonus for every 2 points of Focus they spend. On a success, an affected target takes that total damage. On a Fantastic success, an affected target takes double that total damage and suffers the weapon's special effect.	3
Focused Strike	The character ifnds the right spot and strikes.	Martial Arts	Chain Strikes, Rank 3	Standard	None	Instant	None	10	The character makes a close attack. Add +1 to the characters Melee damage bonus for every 2 points of Focus they spend. On a success, an affected target take that total damage. On a Fantastic success, an affected target takes double that total damage and is stunned for one round.	3
Furious Attacks	The character’s weapons smash into the foe.	Melee Weapons	Whirling Frenzy, Rank 3	Standard	None	Instant	None	10	The character splits their attack to make two close attacks against separate targets within reach (or they can focus a single attack on a single target). Make a single Melee check and compare it to the targets’ Melee defenses. For these attacks, add +1 to the character's Melee damage bonus for every 2 points of Focus they spend. On a success, an affected target takes half that total damage. On a Fantastic success, an affected target takes full damage and suffers the weapon’s special effect.	3
Grand Fool	The character mentally makes the group they're with appear to be like other people.	Telepathy	Fool, Rank 3	Standard	None	Concentration	None	10	The character uses a mirage to alter their appearance—and the appearance of up to one other person per rank, within 10 spaces—in the minds of people within 20 spaces per rank. Cameras (for instance) can still record them, but when people look in the characters’direction, they see other people. The target number for anyone trying to see through the mirage is the character's Logic defense. If the affected characters are impersonating people known to the other person, that person has an edge.	3
Grand Illusion	By manipulating light and sound, the character creates an incredibly real hologram.	Illusion	Animated Illusion, Rank 3	Standard	None	Concentration	None	10	The character creates a sound and sight illusion anywhere in line of sight, within 50 spaces. The illusion can be of anything up to ifve sizes larger than the character, and it can move freely within its limits. The Character breaks concentration if they move beyond 50 spaces from the illusion or lose line of sight of it.	3
Ground-Shaking Stomp	The character smashes the ground so hard the earth trembles.	Super-Strength	Smash, Rank 3	Standard	None	Instant	None	10	The character makes a Melee check and comparesthat against the Agility defense of every target within the character's reach plus their rank in spaces. Any targets the attack succeeds against take half regular damage. on a Fantastic success, the targets take full damage and are knocked prone.	3
Headshot	A real headache	Ranged weapons	Stopping Power, Rank 3	Standard	None	Instant	None	15	The character makes a ranged attack with trouble on an enemy within the weapon's range. If the attack isa success, the enemy takes double normal damage. On a Fantastic success, the enemy takes triple damage. Either Way, if the enemy suffers any actual damage, they are also stunned for one round.	3
Instant Replay	The character rewinds time.	Omniversal Travel	Rank 3	Reaction	The character fails a check.	Instant	None	10	Once per battle, the character can make a second attempt at a check that they just failed, erasing and replacing the ifrst attempt entirely.	3
Jump 2	The character can leap around with dazzling speed.	Spider-Powers	Jump 1, Rank 3	None	None	Permanent	None	0	The character's Jump Speed is equal to their ranktimes their Run Speed. Outside of combat, they can move three times as fast.	3
Jump 2	The character can leap around with dazzling speed.	Super-Strength	Jump 1, Rank 3	None	None	Permanent	None	0	The character's Jump Speed is equal to their ranktimes their Run Speed. Outside of combat, they can move three times as fast.	3
Mental Shelter	The character can create a shelter for their mind.	Telepathy	Uncanny 1, Rank 3	Standard	None	Concentration	None	10	The character extends their mental defenses to protect any chosen people within up to 5 spaces times their rank. The protected targets are granted Focus Damage Reduction equal to the character's Uncanny power.	3
Mighty 3	The character could lift a house.	None	Mighty 2, Rank 3	None	None	Permanent	None	0	Treat the character as three sizes bigger for lifting, carrying, swinging and throwing things. They also add +3 to their Melee damage multiplier, and they gain a +3 bonus to Melee checks other than attacks.	3
Mirage	The character can make mirages appear in a target’s mind.	Telepathy	Telepathic Link, Rank 3	Standard	None	Concentration	None	10	The character creates a full-sensory mirage that affects any target with whom they have established a link. The mirage can be of anything the character desires, and it can move freely.	3
Mirror Images	The character conjures up illusory duplicates of themselves.	Illusion	Animated Illusion, Rank 3	Standard	None	Concentration	None	10	The character creates one sound and sight illusory duplicate of themselves per rank. The duplicates look and sound exactly like them and are under their complete control. They start in the same space as the character and instantly move into any open space around them, up to 2 spaces away, during which time the character can swap places with any of the duplicates. The character's player should secretly record which one is the actual character. The duplicates can move up to 10 spaces away from the character, and they can pretend to attack (and miss) opponents. Any attack that hits a duplicate instantly removes it. If the character successfully attacks someone or does something else to make the truth evident, the illusion ends.	3
Mists of Morpheus	The character causes their foe to fall asleep.	Magic	Sorcerous, Rank 3	Standard	None	Concentration	None	10	The character makes an Ego check against the target's Vigilance defense. On a success, the target is stunned and remains that way while the character concentrates. On a Fantastic success, the target falls asleep instead.	3
Multiversal Travel	The character moves from one universe to another.	Omniversal Travel	Rank 3	Standard/Movement	None	Instant	None	10	The character instantly moves from their current universe to another universe. For instance: from Earth-616 to Earth-65. When they move to the other universe, they can arrive in any place they've been to before. Otherwise, they arrive at the closest available corresponding space in the other universe.	3
Multiversal Travel Together	The character brings someone with them to another universe.	Omniversal Travel	Multiversal Travel, Rank 3	Standard/Movement/Reaction	The target is grabbed.	Instant	None	10	The character moves to a different universe, taking any person they are touching with them. If the target does not wish to come along, the character must grab them ifrst. When they move to the other universe, they can arrive in any place they've been to before. Otherwise, they arrive at the closest available corresponding space in the other universe.	3
Phase Other	The character can phase someone they are touching.	Phasing	Phase Self, Rank 3	Standard/Reaction	The target is grabbed.	Concentration	None	10	The character can make any person (and their clothing) they are touching intangible. The character can also phase any people the initial person is touching or grabbing. People the character has phased remain tangible to each other. If the target does not wish to be phased, the character must grab them ifrst. When contact is broken, the phasing for those no longer in contact with the character (even indirectly) ends. they are automatically pushed out of it but take damage from the disruption equal to a standard action check. The damage multiplier is 1 for every space they must move to reach a clear area. If this kills them, their body is trapped inside the material they were phased into.	3
Possess Vehicle	The character takes control of a vehicle.	Magic	Cursed, Rank 3	Standard	None	Concentration	None	10	The character takes magical control of a vehicle they are inside of or touching. Hellifre engulfs the outside of the vehicle, but it does no damage to it. Anyone that comes into contact with it, though, takes regular damage with a damage multiplier equal to the character's rank. On a Fantastic success, it inflicts regular Health damage and regular Focus damage instead. The character controls the vehicle by will, as long as it is within 20 spaces times the character's rank. They use their Ego for all checks to operate it, and they get an edge on all such checks. The vehicle’s speed doubles. It can climb walls at this speed and can even make jumps at that same speed.	3
Probability-Manipulation Hex	The character makes unlikely things happen.	Magic	Chaotic, Rank 3	Standard/Reaction	None	Concentration	None	10	When an ally within 5 spaces times the character's rank attempts a check on which they have trouble, this hex eliminates all trouble and gives them an edge instead.	3
Protection Hex	The character casts a hex to protect themselves.	Magic	Chaotic, Rank 3	Standard	None	Concentration	None	10	The character produces a hex to help protect themselves. Make an Ego check. The result is now the character's defense against any attack. If the result isn't as high as the character would like, they can end the hex and try again later. On a Fantastic success, the hex also grants Health Damage Reduction 1 for its duration.	3
Quick Toss	The character tosses a person like a toy.	Super-Strength	Crushing Grip, Mighty 1, Rank 3	Reaction	A person the character can pick up is grabbed	Instant	None	10	The character throws the grabbed person at another target. The range is determined by the level of the character’s Mighty power and the grabbed person's size. The character makes a ranged attack against the target. A failure inflicts regular damage on the throne person, who falls prone within 1 space of the target. If the attack is a success, the target takes regular damage too. On a Fantastic success, the target is knocked prone as well.	3
Rally on Me	The character rallies their friends around them.	Tactics	On Your Feet, Rank 3	Standard	None	Instant	None	10	Any allies in earshot can be affected, up to a number equal to the character's Vigilance. Each affected ally can move toward the character at half speed. If they are within the character's reach at the end of this move, they recover lost Focus equal to 5 times the character's rank. The character can use this power once per battle.	3
Resize Object	The character can change the size of an object within reach.	Resize	Grow 2 or Shrink 2, Rank 3	Standard	None	Permanent	None	10	The character can make an object within reach grow or shrink. The character can resize the object as much as they can resize themselves.	3
Resize Other	The character can resize someone they are touching.	Resize	Grow 2 or Shrink 2, Rank 3	Standard/Reaction	The target is grabbed.	Permanent	None	10	The character can make any person in their reach (and their clothing/costume you sicko) grow or shrink. The character can resize the object as much as they can resize themselves. If the target does not want to be resized, the character must grab them ifrst.	3
Rico-Shield	The character ricochets their shield from target to target.	Shield Bearer	Hurled Shield Bash, Rank 3	Standard	None	Instant	V	10	The character makes a ranged attack on a target. If the attack is a success, the target takes regular damage. On a Fantastic success, the target is also knocked prone, and the character can make another attack on another target, adding the extra range between the two targets to the new attack roll. This can be repeated until the attack is not a Fantastic success. When the attack is over the shield bounces back to the character.	3
Run on Water	The character can run across water.	Super-Speed	Speed Run 2, Rank 3	None	None	Permanent	None	0	The character can run so that their feet skip across the surface of water. As long as they keep running (even in place), they do not sink.	3
Scatter	The character warns allies to take evasive action.	Tactics	Hit the Dirt, Rank 3	Reaction	An enemy in line of sight declares an attack on an ally within earshot.	Instant	None	10	Any allies in earshot can be affected, up to a number equal to the character's rank. Each affected ally can move away from you at half Speed and then fall prone. If this makes the ally an ineligible target for the initial attack, that attack automatically fails.	3
Shape-Shift	The character can change forms.	None	Disguise, Rank 3	Standard/Reaction	The character is attacked or otherwise in danger.	Permanent	None	0	The character can change into another form no more than one size bigger or smaller than their regular form. When in any form, the character has access to the natural abilities of that form. For instance, if they transformed into a bird, they could fly. When transformed into a ifsh, they can breathe water.	3
Shield 3	The character's shield protects better than a tank.	Shield Bearer	Shield 2, Rank 3	Standard/Reaction	The character is attacked.	Concentration	None	15	The character gains Health Damage Reduction 3.	3
Shield of the Seraphim	The character produces a magical shield.	Magic	Sorcerous, Rank 3	Standard/Reaction	None	Concentration	None	10	The character produces a magical shield that protects them from physical damage. Any attacks against them that do 20 points of damage or less are instantly absorbed, and the protection continues. If an attack does more than 20 points of damage, it destroys the protection. Either way, the character remains unharmed.	3
Shield Wall	The character stands like an impenetrable wall.	Shield Bearer	Brace for Impact, Rank 3	Movement	None	Concentration	None	0	Attacks against the character have trouble. The character breaks concentration on this power if they use a movement action.	3
Slow-Motion Shoot-Dodge	The character dives sideways, weapons blazing, hanging in midair for a split second.	Ranged weapons	Slow-Motion Dodge, Weapons Blazing, Rank 3	Standard	None	Instant + 1 Round	None	10	The character splits their attack to make two ranged attacks against separate targets (or they can focus a single attack on a single target). Make a single Agility check and compare it to the targets’ Agility defenses. On a success, an affected target takes half regular damage. On a Fantastic success, an affected target takes full damage, and the character can make a bonus attack with this power against any available target, with the same effect. When the character moves, is moved, or starts their next turn, they instantly fall prone. Until that happens, all attacks against their Agility defense have trouble.	3
Speed Run 2	The character runs as fast as a jet!	Super-Speed	Speed Run 1, Rank 3	None	None	Permanent	None	0	Outside of combat, the character can move up to 50 times as fast as their increased Run Speed.	3
Sturdy 3	The character is protected like a tank.	None	Sturdy 2, Rank 3	None	None	Permanent	None	0	The character gains Health Damage Reduction 3.	3
Swipe Power	The character removes a target's power and takes it for their own!	Power Control	Copy Power, Dampen Power, Rank 3	Standard/Reaction	The target is grabbed.	Concentration	None	10	The character makes an Ego attack against the grabbed target. On a success, they remove one of the target's powers and take it for their own. They can now use that power as if it was always theirs. If the power has a cost, the character must pay it or a minimum of 10 Focus. When the character uses the power, they must pay any cost normally as well.	3
Telekinetic Crush	The character mentally squeezes a foe.	Telekinesis	Telekinetic Grab, Rank 3	Reaction	None	Instant	None	10	The character makes a Logic attack against the grabbed target's Resilience defense. If it’s a success, the target takes regular damage. On a Fantastic success, the target takes double damage and is pinned.	3
Telekinetic Protection 2	The character toughens their mind to physically protect themselves	Telekinesis	Telekinetic Protection 1, Rank 3	Standard/Reaction	The character is attacked or otherwise in danger.	Concentration	None	10	The character's personal telekinetic ifeld protects them. Any attacks against them that do 20 points of damage or less are instantly absorbed, and the protection continues. If an attack does more than 20 points of damage, it destroys the protection. Either way, the character remains unharmed.	3
Telekinetic Toss	The character can throw a foe around with their mind.	Telekinesis	Telekinetic Grab, Rank 3	Standard/Reaction	The target is grabbed.	Instant	V	10	The character can telekinetically throw a person that they've telekinetically grabbed at another target. The range for the throw is 5 spaces times the character's rank. The character makes a Logic check against the target's Agility defense. A failure inflicts regular damage on the throne person, who falls prone within 1 space of the target. If the attack is a success, the target takes regular damage too. On a Fantastic success, the target is knocked prone as well.	3
Teleport Blind	The character teleports someplace new to them.	Teleportation	Teleport 1, Rank 3	Standard/Movement	None	Instant	None	15	The character teleports to someplace they've never been and never seen, up to 10 times their rank in spaces away. Outside of combat, they can teleport up to 100 times their rank in spaces away. If the character teleports into something solid, they are automatically pushed out of it but take damage from the disruption equal to a standard action check. The damage multiplier is 1 for every space they must move to reach a clear area. If this kills them, their body is trapped inside the material they teleported into.	3
Teleport Object	The character can teleport something else with them.	Teleportation	Teleport 1, Rank 3	Standard	None	Permanent	None	0	The character can teleport along with them an object within reach as far away as their Teleport power normally allows them. The object (and things attached to or inside of it) can be up to their rank in sizes bigger than them. For example, if they are Rank 4, the object can be up to four sizes bigger than them.	3
Teleport Together	The character can teleport someone they are touching.	Teleportation	Teleport 1, Rank 3	Standard/Movement/Reaction	The target is grabbed.	Instant	None	10	The character teleports, taking any person they are touching with them, into clear spaces they can see or have been to, up to 10 times their rank in spaces away. Outside of combat, they can teleport up to 100 times their rank in spaces away. If the target does not wish to be teleported, the character must grab them ifrst.	3
Time Travel	The character moves from one time to another.	Omniversal Travel	Rank 3	Standard/Movement	None	Instant	None	10	The character instantly moves from their current time to another time—for instance, from the present to 1962. When they move to the other time, they can arrive in any place they've been to before. Otherwise, they arrive at the closest available corresponding space in the other time.	3
Time Travel Together	The character brings someone with them to another time.	Omniversal Travel	Time Travel, Rank 3	Standard/Movement/Reaction	The target is grabbed.	Instant	None	10	The character moves to a different time, taking any person they are touching with them. If the target does not wish to come along, the character must grab them ifrst. When they move to the other time, they can arrive in any place they've been to before. Otherwise, they arrive at the closest available corresponding space in the other time.	3
Uncanny 3	The character's mind is protected like a tank.	None	Uncanny 2, Rank 3	None	None	Permanent	None	0	Any damage multiplier for attacks against the character's Focus is reduced by 3.	3
Unflappable Poise	The character can dodge most close attacks.	Martial Arts	Defense Stance, Rank 3	None	None	Permanent	None	0	Any close attacks against the character have trouble. While they use Defense Stance, such attacks have double trouble.	3
Unstoppable Position	The character's enemies struggle to gang up on them.	Martial Arts	Counterstrike Technique, Rank 3	None	None	Permanent	None	0	If the character is attacked, all other close attacks against them have trouble until the start of their next turn.	3
Vapors of Valtorr	The character weaves an inky mist that can attack those inside it.	Magic	Sorcerous, Rank 3	Standard	None	Concentration	None	10	The character creates an inky mist for up to 25 spaces per rank around them that blocks all line of sight beyond 5 spaces. On later turns, the character can have the most attacks one target at a time. Make an Ego check against the target's Vigilance defense. On a success, the attack does regular damage. On a Fantastic success, it does double damage and blinds the target for one turn.	3
Web Trapping	The character creates a giant web to catch things in	Spider-Powers	Webgrabbing, Rank 3	Standard	None	Instant	None	10	The character iflls up to 5 spaces with sticky webs, and the affected spaces are considered diifceh terrain. Any creature that starts its turn in or moves into an affected space must make an Agility check (target number 20) or be paralyzed by the webbing. Breaking free from webbing requires a Melee check (target number 20).	3
Accuracy 4	The character can out-target almost anyone.	None	Accuracy 3, Rank 4	None	None	Permanent	None	0	The character adds +4 to their Agility damage multiplier, and they gain a +4 bonus to Ability checks other than attacks.	4
Advance	The character can advance their allies on the battleifeld.	Tactics	Rally on Me, Scatter, Rank 4	Reaction	The character (or an ally in line of sight) stuns or defeats an enemy.	1 Round	None	15	Any allies in earshot can be affected, up to a number equal to the character's Ego defense. Each affected ally can immediately use a free movement action to move toward the enemy that triggered the reaction.	4
Anger	You won't like them when they're angry.	None	Mighty 3, Rank 4	Standard/Reaction	The character is harmed by an attack.	Permanent	None	10	The character becomes angry and uses that angerto increase their strength. For every 10 points of Focus They spend, they add +15 to their Melee damage bonus and lose -2 from their Logic—and subsequently their Logic defense. While using this power, they cannot use any other powers that require concentration.	4
Body Sheet	The character can flatten themselves like a sheet.	Plasticity	Flexible Bones 2, Extended Reach 2, Rank 4	Standard/Reaction	The character falls or is the target of an attack.	Concentration	None	15	The character gains Health Damage Reduction 3,but they cannot make attacks. They gain a Glide Speed Equal to double their Run Speed.	4
Body Sphere	The character can form their body into a protective sphere.	Plasticity	Body Sheet, Rank 4	Standard/Reaction	The character or an ally is the target of an attack.	Concentration	None	15	The character forms their body into a sphere,protecting up to one ally per rank, squeezed into the same space. Those inside the sphere gain Health Damage Reduction 3 against outside attacks, but they cannot move on their own until the character releases them. Alternatively, if the attacker is within the character's reach, the character can make an Agility check against the target's Agility defense. On a success, the character envelops the attacker, grabbing them. On a Fantastic success, the character closes the sphere enough to pin the attacker too.	4
Boost Powers	The character turbocharges all of another character's powers!	Power Control	Bump Power, Rank 4	Standard	None	Concentration	None	15	The character picks one character within 5 spacesand boosts all of their powers. If the powers have rangesor effective areas or durations, these are doubled. If the powers affect a damage multiplier, add 1 to the effects.Any effects that normally happen with a Fantastic Successes automatically happen on any success, not just a Fantastic one. If the target's powers have costs, the character must pay the highest of them or a minimum of 15 Focus.	4
Brilliance 4	The character's intelligence is unparalleled.	None	Brilliance 3, Rank 4	None	None	Permanent	None	0	The character adds +4 to their Logic damage multiplier, and they gain a +4 bonus to Logic checks other than attacks.	4
Clone Powers	The character duplicates all of another character's powers.	Power Control	Copy Power, Rank 4	Standard	None	Concentration	None	15	The character picks another character within 10 spaces and duplicates all of their powers. They can now use those powers as if they were always theirs. If the target's powers have costs, the character must pay the highest of them, or a minimum of 15 Focus.	4
Control Weather 3	The character creates a thunderstorm.	Weather Control	Control Weather 2, Rank 4	Standard	None	Concentration	None	15	It starts to storm in an area up to 5 miles across times the character's rank, centered on the character. Allranges and all speeds are cut in half.If the character also has the Elemental Blast (Electricity)power, they can use it as a reaction when attacked while this power is active.	4
Dimensional Portal	The character opens a portal to another place.	Omniversal Travel	Dimensional Travel Together, Rank 4	Standard	None	Concentration	None	15	The character opens a glowing portal in a space next to them that moves anything that enters it between that space and its destination, which forms a matched glowing portal in the other place. The other end of the portal must be in a clear space in another dimension that the character has been to. Anything can move through the portal in either direction until it is closed, which the character can do at will.	4
Dimensional Travel Other	The character sends someone to another dimension.	Omniversal Travel	Dimensional Travel, Rank 4	Standard/Movement/Reaction	The target is grabbed.	Instant	None	15	The character makes an Ego check against the Vigilance defense of a target they have grabbed. If the check is successful, the character can send the target to another dimension. The target can be sent to any location in that dimension that the character has been to before. Otherwise, the target arrives at the most common entrance to that dimension.	4
Discipline 4	The character has mastered their power.	None	Discipline 3, Rank 4	None	None	Instant	None	0	The character adds +4 to their Ego damage multiplier,and they gain a +4 bonus to Ego checks other than attacks.	4
Dispel Spell	The character puts an end to a foe's magic.	Magic	Sorcerous, Rank 4	Standard	None	Instant	None	15	The character makes an Ego check against the Ego defense of a target using a magic power that requires concentration. On a success, the target's concentration on dat power is broken. On a Fantastic success, the target's concentration is broken entirely.	4
Edit Memory	The character alters someone's memory.	Telepathy	Memory Blip, Rank 4	Standard	None	Permanent	None	15	The character alters the memory of a target with whom they've established a Telepathic Link. This can be as simple as erasing a chunk of the target's memory or as complicated as implanting entirely new memories. The Narrator sets the target number based on how complex the new memory is and how hard it would be to integrate such memories into the character's other memories.The character makes a Logic check against the target's Logic defense. On a success, the memories are altered. On a Fantastic success, the target has trouble on checks to refute such memories in the future.Any time the target is given good reason to doubt the edited memory, they can make a Logic check to refute the new version of their memories and recover their original memories. If they succeed, they remember both the original memory and the edited one. On a Fantastic success, they know for sure who did this to them.	4
Elemental Barrage	The character hurls a barrage of their element at their foes.	Elemental Control	Elemental Blast, Rank 4	Standard	None	Instant	None	15	The character designates a space within their line of sight. The attack can affect every enemy within 10 spaces of that. The character makes a single Ego check and compares it to each target's Resilience defense. Affected enemies take half regular damage. On a Fantastic success, they take full regular damage and the elemental type special effect.	4
Elemental Protection 3	The character's elemental protection is like a tank.	Elemental Control	Elemental Protection 2, Rank 4	Standard/Reaction	The character is attacked or otherwise in danger.	Concentration	None	15	The character protects themselves with their element. Any attacks against them that do 30 points of damage or less are instantly absorbed, and the protection continues. If an attack does more than 30 points of damage, it destroys the protection. Either way, the character remains unharmed.	4
Elemental Suffocation	The character envelops a target's head in an element.	Elemental Control	Elemental Grab, Rank 4	Standard/Reaction	None	Instant	V	15	The character makes an Ego attack against the grabbed target's Resilience defense. If the attack is a success, the target takes regular damage. On a Fantastic Success, the target can also be pinned and suffers the element's special effect.With elements that aren't suited to suffocation, this power chokes the target instead.	4
Energy Absorption	The character turns damage into power.	None	Rank 4	Reaction	The character takes Health damage.	Instant	None	15	The character can take any Health damage done to them (after applying any damage reduction), ignore it and add that number to their Focus instead. In this way,they can increase their Focus up to double their regular maximum Focus.                                                                             Once the combat is over, any extra Focus over the character's regular maximum Focus Score fades away.	4
Exorcism	The character removes an intruder from someone's body.	Magic	Rank 4	Standard	None	Instant	None	15	The character attempts to remove the possessor from a possessed target. The character makes an Ego check against the possessor Ego defense. On a success, the possessor’s concentration is broken, ending the possession. On a Fantastic success, all of the possessor concentrations are broken, and the possessor is stunned for one round too.	4
Grand Mirage	The character can make a mirage appear in a group's mind.	Telepathy	Mirage, Rank 4	Standard	None	Concentration	None	10	The character creates a full-sensory mirage that affects everyone in a Telepathic Network they set up who's also in the same locale. The mirage can be of anything the character desires, and it can move freely.	4
Group Invisibility	The character can make something else invisible.	Illusion	Extend Invisibility, Rank 4	Standard	None	Concentration	None	15	For every point of Ego defense the character has,they can make one person or thing invisible, including themselves. Each of these can be one size bigger than them for every rank they have.	4
Jump 3	The character can leap into the sky with a single bound.	Spider-Powers	Jump 2, Rank 4	None	None	Permanent	None	0	Outside of combat, the character can jump up to 50 times their Jump Speed.	4
Jump 3	The character can leap into the sky with a single bound.	Super-Strength	Jump 2, Rank 4	None	None	Permanent	None	0	Outside of combat, the character can jump up to 50 times their Jump Speed.	4
Kill Zone	The character shoots at every target that moves through their kill zone.	Ranged weapons	Covering Fire, Headshot, Rank 4	Reaction	An enemy in the character's line of sight starts to move.	Instant	None	15	The character makes a ranged attack on the enemy.If the attack is a success, the enemy takes normal damage.On a Fantastic success, the enemy takes double damage.Either way, the character regains their reaction. Each Target can be affected by this attack by this character only once per round.	4
Leaping Leglock	The character leaps into the air and snaps their legs around an enemy.	Martial Arts	Flying Double Kick, Crushing Grip, Rank 4	Standard	None	Instant	None	15	The character makes a close attack against an enemy. If the attack is a success, the enemy is grabbed and dealt regular damage. On a Fantastic success, the enemy takes double damage and is groped and stunned for one round. Either way, both the character and the enemy are knocked prone.	4
Lightning Actions	The character has lightning-fast moves.	Super-Speed	Rank 4	None	None	Permanent	None	0	The character has one extra standard action and one extra reaction each turn. Additionally, they can turn their Marvel die to a Fantastic success when making an initiative check.	4
Macro Dimensional Travel	The character outgrows the universe!	Resize	Grow 4, Rank 4	Standard	None	Instant	None	15	The character can grow enough to travel into the Macroverse, the Overspace or other dimensions of enlarged space. They can return to their normal size at will. Note that this is something that most characters would rarely want to do, as it removes them entirely from the irregular universe and places them in a dimension in which the rules of time and space work differently. An hour in the Macroverse, for example, is roughly equivalent to a month in a regular universe. A trip to the Overspace is too overwhelming for most minds to handle.	4
Micro Dimensional Travel	The character shrinks out of the universe!	Resize	Shrink 4, Rank 4	Standard	None	Instant	None	15	The character can shrink enough to travel into subatomic realms. They can return to their normal size at will. Note that this is something that most characters would rarely want to do, as it removes them entirely from their regular universe and places them in a dimension in which the rules of time and space work differently. The Underspace, for example, might makes ifne place to hide, but there’s little else of interest there.	4
Mighty 4	The character is among the strongest there are.	None	Mighty 3, Rank 4	None	None	Permanent	None	0	Treat the character as four sizes bigger lifting, carrying, swinging and throwing things. They also add +4 to their Melee damage multiplier, and they gain a +4 bonus to Melee checks other than attacks.	4
Molecular Destabilization	The character causes something to vibrate fast enough to explode.	Super-Speed	Speed Run 2, Rank 4	Standard	None	Instant	None	15	The character makes a close attack against an object their size or smaller. If the attack is a success, the object explodes. All targets within 2 spaces of the object— other than the character—take regular damage. On a Fantastic success, double the damage and ignore any Health Damage Reduction.	4
Multiversal Portal	The character opens a portal to another universe.	Omniversal Travel	Multiversal Travel, Rank 4	Standard	None	Concentration	None	15	The character opens a glowing portal in a space next to them that moves anything that enters it between that space and its destination, which forms a matched glowing portal in the other place. The other end of the portal must be in a clear space in another universe that the character has been to. Anything can move through the portal in either direction until it is closed, which the character can do at will.	4
Multiversal Travel Other	The character sends someone to another universe.	Omniversal Travel	Multiversal Travel, Rank 4	Standard/Movement/Reaction	The target is grabbed.	Instant	None	15	The character makes an Ego check against the Vigilance of a target they have grabbed. If the check issuccessful, the character can send the target to another universe. The target can be sent to any location in that universe that the character has been to before. Otherwise,the target arrives at the closest available corresponding space in the other universe.	4
Operations Center	The character directs their allies in combat.	Tactics	Combat Support, Focus Fire, Rank 4	Standard	None	Concentration	None	15	The character inspires one or more allies of their choice in earshot, up to the character's Vigilance defense. Affected allies gain an edge on all action checks until the start of the character's next turn. The character breaks concentration on this power if they use a movement action.	4
